referee,ref_total_diff,ref_penalty_rate,ref_home_bias,ref_home_win_pct
Matt Cecchin,5.443,,,1
Gavin Reynolds,-3.557,,,1
Gerard Sutton,-6.557,,,1
Gavin Badger,-22.557,,,1
Grant Atkins,11.443,,,0
Ben Cummins,13.443,,,0
Ashley Klein,-2.557,,,1
Henry Perenara,17.443,,,1
Gavin Badger,-4.557,,,0
Gerard Sutton,1.443,,,1
Ben Cummins,3.443,,,1
Gavin Reynolds,-12.557,,,1
Henry Perenara,-8.557,,,1
Grant Atkins,-22.557,,,0
Matt Cecchin,13.443,,,1
Ashley Klein,17.443,,,0
Matt Cecchin,3.443,,,1
Gavin Reynolds,-2.557,,,1
Ashley Klein,-24.557,,,0
Grant Atkins,-1.557,,,0
Gavin Badger,-0.557,,,1
Ben Cummins,-22.557,,,0
Henry Perenara,21.443,,,0
Alan Shortall,5.443,,,1
Gavin Badger,6.443,,,0
Ben Cummins,-4.557,,,1
Matt Cecchin,-22.557,,,1
Henry Perenara,-4.557,,,0
Tim Roby,7.443,,,1
Grant Atkins,1.443,,,1
Chris Sutton,-0.557,,,0
Gavin Badger,9.443,,,1
Alan Shortall,-4.557,,,1
Ben Cummins,-2.557,,,0
Gavin Badger,-12.557,,,1
Adam Gee,-19.557,,,1
Matt Cecchin,-6.557,,,1
Chris Sutton,-15.557,,,1
Ashley Klein,11.443,,,1
Henry Perenara,-22.557,,,0
Alan Shortall,-0.557,,,0
Gerard Sutton,13.443,,,1
Gavin Badger,19.443,,,1
Adam Gee,4.443,,,0
Henry Perenara,-3.557,,,0
Matt Cecchin,-20.557,,,1
Chris Sutton,6.443,,,1
Ben Cummins,9.443,,,0
Gerard Sutton,-34.557,,,0
Henry Perenara,-8.557,,,1
Gavin Badger,13.443,,,0
Adam Gee,23.443,,,1
Chris Butler,1.443,,,0
Alan Shortall,-0.557,,,1
Chris Sutton,13.443,,,1
Matt Cecchin,7.443,,,1
Gavin Badger,-8.557,,,1
Gerard Sutton,19.443,,,1
Ben Cummins,3.443,,,0
Adam Gee,-10.557,,,0
Alan Shortall,-4.557,,,1
Chris Butler,-21.557,,,0
Henry Perenara,-14.557,,,0
Matt Cecchin,5.443,,,1
Gerard Sutton,1.443,,,1
Gavin Badger,13.443,,,0
Ashley Klein,5.443,,,0
Alan Shortall,9.443,,,1
Ben Cummins,-10.557,,,1
Adam Gee,1.443,,,1
Matt Cecchin,7.443,,,1
Henry Perenara,1.443,,,1
Gerard Sutton,-8.557,,,1
Alan Shortall,6.443,,,0
Ashley Klein,-8.557,,,1
Matt Cecchin,-8.557,,,0
Gavin Badger,1.443,,,1
Grant Atkins,21.443,,,1
Adam Gee,-6.557,,,1
Henry Perenara,-0.557,,,0
Ben Cummins,-22.557,,,1
Gavin Reynolds,-2.557,,,0
Gavin Badger,9.443,,,1
Grant Atkins,18.443,,,1
Chris Sutton,-1.557,,,0
Henry Perenara,-12.557,,,0
Ashley Klein,2.443,,,1
Matt Cecchin,-2.557,,,1
Ashley Klein,-12.557,,,1
Alan Shortall,0.443,,,1
Matt Cecchin,-27.557,,,0
Ben Cummins,7.443,,,1
Grant Atkins,-0.557,,,0
Gerard Sutton,-10.557,,,1
Gavin Reynolds,17.443,,,0
Henry Perenara,-16.557,,,1
Ben Cummins,-2.557,,,0
Henry Perenara,-4.557,,,1
Gavin Reynolds,-6.557,,,0
Grant Atkins,-10.557,,,1
Henry Perenara,4.443,,,0
Grant Atkins,-6.557,,,0
Gavin Reynolds,7.443,,,0
Alan Shortall,-6.557,,,0
Gavin Badger,-6.557,,,1
Adam Gee,-0.557,,,1
Ben Cummins,7.443,,,1
Matt Cecchin,-6.557,,,0
Gerard Sutton,25.443,,,0
Henry Perenara,-1.557,,,0
Ashley Klein,-2.557,,,1
Gavin Reynolds,1.443,,,0
Alan Shortall,-0.557,,,1
Matt Cecchin,-4.557,,,0
Adam Gee,-2.557,,,0
Gavin Badger,19.443,,,0
Ben Cummins,-2.557,,,1
Adam Gee,-7.557,,,0
Gavin Badger,-23.557,,,0
Gerard Sutton,-12.557,,,0
Henry Perenara,11.443,,,0
Alan Shortall,7.443,,,1
Gavin Reynolds,1.443,,,0
Matt Cecchin,0.443,,,1
Matt Cecchin,41.443,,,1
Ben Cummins,-0.557,,,1
Gavin Badger,19.443,,,0
Henry Perenara,-6.557,,,0
Matt Cecchin,-4.557,,,0
Tim Roby,-6.557,,,1
Gavin Badger,-10.557,,,0
Gavin Reynolds,-13.557,,,0
Henry Perenara,9.443,,,1
Grant Atkins,-8.557,,,0
Ben Cummins,-4.557,,,0
Chris Butler,-8.557,,,0
Henry Perenara,-18.557,,,1
Gerard Sutton,11.443,,,1
Ashley Klein,27.443,,,1
Gavin Badger,13.443,,,1
Matt Cecchin,-12.557,,,1
Adam Gee,-6.557,,,0
Ben Cummins,-22.557,,,0
Grant Atkins,39.443,,,0
Grant Atkins,-18.557,,,1
Henry Perenara,-2.557,,,1
Matt Cecchin,-20.557,,,1
Gavin Badger,11.443,,,0
Alan Shortall,5.443,,,1
Adam Gee,13.443,,,1
Gerard Sutton,7.443,,,1
Ashley Klein,13.443,,,1
Ben Cummins,17.443,,,1
Grant Atkins,0.443,,,0
Ashley Klein,9.443,,,1
Gerard Sutton,-10.557,,,0
Tim Roby,-0.557,,,1
Alan Shortall,5.443,,,1
Henry Perenara,24.443,,,0
Matt Cecchin,30.443,,,1
Grant Atkins,23.443,,,1
Matt Cecchin,-16.557,,,1
Gerard Sutton,-8.557,,,0
Henry Perenara,-7.557,,,0
Tim Roby,-16.557,,,1
Adam Gee,3.443,,,1
Ben Cummins,1.443,,,0
Ashley Klein,-9.557,,,0
Ashley Klein,15.443,,,1
Gavin Reynolds,35.443,,,0
Gerard Sutton,-16.557,,,1
Ben Cummins,-8.557,,,0
Grant Atkins,-10.557,,,0
Matt Cecchin,3.443,,,1
Gavin Badger,12.443,,,1
Henry Perenara,-14.557,,,1
Matt Cecchin,1.443,,,1
Ashley Klein,11.443,,,1
Grant Atkins,9.443,,,1
Gavin Reynolds,-4.557,,,1
Gavin Badger,-22.557,,,0
Gerard Sutton,-10.557,,,0
Jon Stone,9.443,,,1
Henry Perenara,-2.557,,,0
Ashley Klein,20.443,,,1
Matt Cecchin,-4.557,,,1
Gerard Sutton,-2.557,,,0
Henry Perenara,-2.557,,,0
Gavin Badger,15.443,,,0
Gavin Reynolds,13.443,,,0
Grant Atkins,7.443,,,0
Ben Cummins,23.443,,,1
Ashley Klein,16.443,,,1
Henry Perenara,-1.557,,,1
Ben Cummins,-7.557,,,1
Grant Atkins,25.443,,,0
Ashley Klein,0.443,,,1
Ben Cummins,-15.557,,,1
Ben Cummins,-12.557,,,1
Ashley Klein,-24.557,,,1
Ashley Klein,-13.557,,,1
Gerard Sutton,-5.328,,,1
Peter Gough,-17.328,,,1
Gavin Badger,2.672,,,0
Tim Roby,6.672,,,1
Adam Gee,-13.328,,,1
Ben Cummins,-3.328,,,1
Ashley Klein,-7.328,,,0
David Munro,-18.328,,,0
Gerard Sutton,12.672,,,0
Adam Gee,-7.328,,,0
Gavin Badger,-0.328,,,1
Tim Roby,-13.328,,,1
David Munro,-9.328,,,0
Matt Cecchin,4.672,,,0
Ben Cummins,12.672,,,0
Ashley Klein,0.672,,,1
Ben Cummins,9.672,,,0
Tim Roby,-12.328,,,1
Gerard Sutton,10.672,,,0
David Munro,18.672,,,1
Matt Cecchin,18.672,,,0
Ashley Klein,-5.328,,,0
Gavin Badger,-9.328,,,0
Chris Butler,8.672,,,1
Ashley Klein,0.672,,,1
Peter Gough,-3.328,,,1
Gerard Sutton,-22.328,,,1
Grant Atkins,-14.328,,,1
Gavin Badger,2.672,,,0
Chris Sutton,-3.328,,,1
Ben Cummins,-5.328,,,1
Matt Cecchin,-14.328,,,0
Ben Cummins,-1.328,,,0
David Munro,14.672,,,1
Gavin Badger,-9.328,,,0
Chris Sutton,12.672,,,1
Peter Gough,4.672,,,0
Matt Cecchin,6.672,,,0
Ashley Klein,4.672,,,1
Henry Perenara,-20.328,,,1
Ben Cummins,4.672,,,1
Henry Perenara,-19.328,,,0
Ashley Klein,1.672,,,0
Peter Gough,-12.328,,,0
David Munro,-17.328,,,1
Chris Sutton,12.672,,,1
Matt Cecchin,8.672,,,1
Gerard Sutton,17.672,,,1
Ben Cummins,-9.328,,,1
Matt Cecchin,-14.328,,,1
Chris Sutton,-3.328,,,1
Ashley Klein,0.672,,,0
Peter Gough,4.672,,,1
Henry Perenara,-4.328,,,1
Gerard Sutton,4.672,,,1
Grant Atkins,2.672,,,1
Gerard Sutton,4.672,,,1
Gavin Badger,2.672,,,1
Ben Cummins,-1.328,,,1
David Munro,2.672,,,1
Henry Perenara,-11.328,,,1
Matt Cecchin,14.672,,,1
Chris Sutton,14.672,,,0
Ashley Klein,10.672,,,1
David Munro,4.672,,,0
Chris Sutton,-5.328,,,1
Ben Cummins,-3.328,,,0
Matt Cecchin,-7.328,,,0
Gavin Badger,4.672,,,1
Henry Perenara,34.672,,,1
Gerard Sutton,14.672,,,1
Ashley Klein,8.672,,,1
Gavin Badger,6.672,,,1
Henry Perenara,0.672,,,0
David Munro,-14.328,,,1
Peter Gough,-1.328,,,0
Chris Sutton,-12.328,,,1
Ben Cummins,-11.328,,,0
Gerard Sutton,17.672,,,0
Matt Cecchin,-1.328,,,0
David Munro,-13.328,,,0
Matt Cecchin,14.672,,,0
Ben Cummins,10.672,,,1
Henry Perenara,-1.328,,,0
Ashley Klein,-29.328,,,0
Gerard Sutton,8.672,,,1
Chris Sutton,-5.328,,,0
Gavin Badger,-8.328,,,0
Ben Cummins,-12.328,,,1
Gavin Badger,0.672,,,1
David Munro,-17.328,,,0
Henry Perenara,-29.328,12.0,2.0,0
David Munro,-7.328,,,0
Matt Cecchin,-11.328,,,0
Henry Perenara,2.672,,,0
Chris Butler,24.672,,,1
Gavin Badger,2.672,,,0
Chris Sutton,4.672,,,0
Ben Cummins,-10.328,,,1
Gerard Sutton,8.672,,,0
Ashley Klein,2.672,,,1
Grant Atkins,4.672,,,0
Ben Cummins,13.672,,,0
Gavin Badger,-1.328,,,1
Adam Gee,-2.328,,,0
Henry Perenara,8.672,,,1
Chris Sutton,8.672,,,1
Matt Cecchin,10.672,,,1
Gavin Badger,-16.328,,,1
Henry Perenara,-3.328,,,1
Grant Atkins,-13.328,,,0
Chris Sutton,2.672,,,0
Ashley Klein,-1.328,,,1
Matt Cecchin,-1.328,,,1
Gerard Sutton,-2.328,,,0
Ben Cummins,-13.328,,,1
Ben Cummins,-9.328,,,0
Henry Perenara,0.672,,,0
Gavin Badger,4.672,,,0
Matt Cecchin,6.672,,,0
Henry Perenara,-13.328,,,1
Matt Cecchin,-5.328,,,0
Grant Atkins,1.672,,,1
Chris Sutton,-3.328,,,0
Ben Cummins,16.672,,,1
Peter Gough,-12.328,14.0,0.0,0
Gerard Sutton,8.672,,,0
Ashley Klein,10.672,,,0
Ben Cummins,-5.328,,,1
Henry Perenara,-2.328,,,1
Grant Atkins,18.672,,,1
Gavin Badger,18.672,,,1
Adam Gee,-7.328,,,1
Chris Sutton,8.672,,,0
David Munro,16.672,,,0
Matt Cecchin,20.672,,,1
Matt Cecchin,-9.328,,,1
Henry Perenara,14.672,,,0
Gerard Sutton,-3.328,,,1
Chris Sutton,6.672,,,1
Ben Cummins,6.672,,,0
Grant Atkins,-18.328,,,0
Adam Gee,-7.328,,,0
Ashley Klein,8.672,,,0
Grant Atkins,-7.328,,,1
Matt Cecchin,18.672,,,0
Gerard Sutton,4.672,,,0
Henry Perenara,-3.328,,,1
Ben Cummins,-15.328,,,1
David Munro,23.672,,,1
Ashley Klein,-23.328,,,0
Peter Gough,24.672,,,1
Matt Cecchin,-7.328,,,0
Ben Cummins,0.672,,,1
Grant Atkins,6.672,,,1
Henry Perenara,28.672,,,1
Adam Gee,-5.328,,,1
Chris Butler,-5.328,,,1
Ashley Klein,0.672,,,0
Gerard Sutton,2.672,,,0
Gerard Sutton,4.672,,,1
Gavin Badger,8.672,,,0
Ashley Klein,-3.328,,,1
Grant Atkins,8.672,,,1
Ben Cummins,0.672,,,0
Henry Perenara,-19.328,13.0,1.0,0
Adam Gee,-9.328,,,1
Matt Cecchin,8.672,,,1
Grant Atkins,-21.328,,,0
Matt Cecchin,-5.328,,,1
Henry Perenara,2.672,,,0
Gavin Badger,18.672,,,1
Adam Gee,10.672,,,1
Chris Sutton,6.672,,,0
David Munro,-7.328,,,1
Ashley Klein,-7.328,,,0
Chris Sutton,-16.328,,,1
David Munro,1.672,,,0
Ashley Klein,-6.328,,,1
Gavin Badger,2.672,,,1
Ben Cummins,2.672,,,0
Henry Perenara,-11.328,,,1
Gerard Sutton,-10.328,,,0
Matt Cecchin,16.672,,,0
Ashley Klein,-13.328,,,1
Gerard Sutton,8.672,,,1
Henry Perenara,0.672,,,1
Matt Cecchin,4.672,,,0
Grant Atkins,4.672,,,1
Gavin Badger,0.672,,,0
Ben Cummins,-6.328,,,0
Adam Gee,24.672,,,1
Gerard Sutton,-3.328,,,1
Ashley Klein,-17.328,,,0
Henry Perenara,4.672,,,1
Ben Cummins,18.672,,,1
Gerard Sutton,20.672,,,1
Ben Cummins,-7.328,,,1
Ben Cummins,-13.328,,,1
Gerard Sutton,-19.328,,,1
Ben Cummins,-17.328,,,1
Grant Atkins,-32.254,,,1
David Munro,-12.254,,,1
Gavin Badger,6.746,,,0
Henry Perenara,-22.254,,,1
Ben Cummins,-2.254,,,1
Adam Gee,-8.254,,,1
Matt Cecchin,-20.254,,,0
Ashley Klein,-4.254,,,0
Adam Gee,-2.254,,,0
Matt Cecchin,17.746,,,0
Grant Atkins,-2.254,,,1
David Munro,-16.254,,,0
Ben Cummins,-25.254,,,0
Ashley Klein,-20.254,,,0
Gavin Badger,23.746,,,0
Henry Perenara,9.746,,,0
Gerard Sutton,-2.254,,,0
Henry Perenara,-0.254,,,1
Ashley Klein,-2.254,,,1
Chris Sutton,-24.254,,,1
Adam Gee,1.746,,,0
Grant Atkins,-14.254,,,0
Ben Cummins,-14.254,,,0
Matt Cecchin,-4.254,,,1
Grant Atkins,16.746,,,0
Matt Cecchin,-16.254,,,1
Gerard Sutton,-12.254,,,1
Ben Cummins,-7.254,,,1
Chris Sutton,-0.254,,,0
Ashley Klein,9.746,,,0
Adam Gee,8.746,,,1
Henry Perenara,-18.254,,,1
Ashley Klein,-4.254,,,1
Adam Gee,20.746,,,1
Gerard Sutton,-16.254,,,1
Matt Cecchin,1.746,,,1
Chris Sutton,-22.254,,,0
Ben Cummins,-4.254,,,0
Henry Perenara,3.746,,,1
Grant Atkins,5.746,,,0
Gerard Sutton,-9.254,,,1
Matt Cecchin,9.746,,,1
Ashley Klein,-7.254,,,1
Chris Sutton,-14.254,,,0
Henry Perenara,13.746,,,1
Ben Cummins,-8.254,,,1
Grant Atkins,-22.254,,,0
Adam Gee,-4.254,,,1
Gerard Sutton,-10.254,,,1
Ben Cummins,13.746,,,1
Grant Atkins,-4.254,,,1
Matt Cecchin,9.746,,,1
Peter Gough,-0.254,,,0
Ashley Klein,6.746,,,1
Adam Gee,19.746,,,0
Henry Perenara,-2.254,,,0
Ashley Klein,9.746,,,1
Matt Cecchin,-4.254,,,1
Ben Cummins,3.746,,,1
Chris Sutton,7.746,,,0
Chris Butler,-0.254,,,1
Adam Gee,-11.254,,,0
Grant Atkins,-16.254,,,0
Peter Gough,-6.254,,,0
Adam Gee,15.746,,,0
Chris Butler,-14.254,,,1
Ben Cummins,-14.254,,,1
Ashley Klein,37.746,,,0
Chris Sutton,-8.254,,,1
Grant Atkins,-8.254,,,0
Gerard Sutton,-28.254,,,0
Matt Cecchin,-4.254,,,1
Gerard Sutton,1.746,,,0
Chris Sutton,5.746,,,1
Adam Gee,5.746,,,1
Henry Perenara,7.746,,,1
Grant Atkins,-4.254,,,0
Ashley Klein,-2.254,,,1
Matt Cecchin,13.746,,,0
Ben Cummins,-10.254,,,1
Gerard Sutton,-0.254,,,1
Henry Perenara,-6.254,,,0
Ben Cummins,11.746,,,0
Chris Sutton,-14.254,,,0
Grant Atkins,9.746,,,1
Ashley Klein,-12.254,,,1
Matt Cecchin,-12.254,,,0
Adam Gee,-6.254,,,0
Ashley Klein,13.746,,,0
Peter Gough,3.746,,,0
Matt Cecchin,19.746,,,0
Henry Perenara,-12.254,,,1
Ben Cummins,-16.254,,,0
Gerard Sutton,11.746,,,0
Chris Sutton,-8.254,,,0
Adam Gee,-0.254,,,1
Ashley Klein,-2.254,,,0
Henry Perenara,5.746,,,0
Grant Atkins,-4.254,,,1
Peter Gough,8.746,,,1
Matt Cecchin,5.746,,,1
Gerard Sutton,-2.254,,,1
Chris Sutton,-2.254,,,1
Ben Cummins,-16.254,,,0
Gerard Sutton,-12.254,,,0
Grant Atkins,-16.254,,,0
Adam Gee,-12.254,,,0
Henry Perenara,5.746,,,1
Chris Butler,18.746,,,0
Chris Sutton,1.746,,,1
Ashley Klein,7.746,,,1
Matt Cecchin,14.746,,,1
Ben Cummins,-28.254,,,1
Ashley Klein,7.746,,,1
Henry Perenara,9.746,,,0
Chris Butler,9.746,,,0
Grant Atkins,11.746,,,0
Gerard Sutton,29.746,,,1
Peter Gough,-8.254,,,0
Adam Gee,-30.254,,,1
Gerard Sutton,-4.254,,,0
Henry Perenara,-18.254,,,0
Adam Gee,27.746,,,1
Matt Cecchin,-0.254,,,1
Chris Sutton,-2.254,,,1
Ben Cummins,-6.254,,,1
Grant Atkins,-6.254,,,1
Chris Butler,11.746,,,1
Matt Cecchin,-5.254,,,0
Ben Cummins,5.746,,,1
Ashley Klein,-4.254,,,0
Chris Sutton,-10.254,,,0
Henry Perenara,23.746,,,0
Gerard Sutton,-18.254,,,0
Grant Atkins,-0.254,,,0
Adam Gee,2.746,,,1
Ben Cummins,7.746,,,0
Matt Noyen,9.746,,,0
Gerard Sutton,-20.254,,,1
Matt Cecchin,2.746,,,0
Henry Perenara,-18.254,,,1
Ashley Klein,11.746,,,1
Grant Atkins,13.746,,,1
Matt Cecchin,-6.254,,,1
Ashley Klein,-0.254,,,0
Matt Cecchin,1.746,,,0
Henry Perenara,-4.254,,,1
David Munro,23.746,,,0
Gerard Sutton,29.746,,,1
Ben Cummins,9.746,,,1
Chris Sutton,-2.254,,,1
Grant Atkins,17.746,,,1
Grant Atkins,5.746,,,0
Chris Sutton,-0.254,,,1
Gerard Sutton,25.746,,,1
Henry Perenara,-0.254,,,0
Ashley Klein,23.746,,,0
Ben Cummins,9.746,,,0
Adam Gee,25.746,,,1
Matt Cecchin,9.746,,,1
Gerard Sutton,14.746,,,1
Grant Atkins,9.746,,,1
Ashley Klein,17.746,,,1
Ben Cummins,23.746,,,1
Ashley Klein,-2.254,,,0
Gerard Sutton,19.746,,,0
Ashley Klein,-2.254,,,1
Gerard Sutton,-6.254,,,1
Gerard Sutton,3.746,,,0
Grant Atkins,-1.866,,,1
Ben Cummins,2.134,,,1
Adam Gee,-5.866,,,0
Ashley Klein,-20.866,,,1
Chris Sutton,4.134,,,1
Matt Cecchin,-21.866,,,1
Gerard Sutton,-3.866,,,1
Peter Gough,4.134,,,0
Ashley Klein,-17.866,,,1
Grant Atkins,-9.866,,,0
Matt Cecchin,-1.866,,,1
Peter Gough,-17.866,,,0
Gerard Sutton,-7.866,,,0
Ben Cummins,-2.866,,,0
Adam Gee,0.134,,,0
Chris Sutton,-23.866,,,0
Grant Atkins,-23.866,,,1
Chris Sutton,4.134,,,1
Ashley Klein,-3.866,,,1
Henry Perenara,19.134,,,0
Ben Cummins,-21.866,,,1
Adam Gee,-13.866,,,1
Gerard Sutton,-1.866,,,0
Peter Gough,6.134,,,0
Matt Cecchin,6.134,,,0
Grant Atkins,-7.866,,,0
Gerard Sutton,0.134,,,1
Adam Gee,-21.866,,,0
Chris Sutton,12.134,,,1
Peter Gough,-10.866,,,0
Ben Cummins,-1.866,,,1
Ashley Klein,12.134,,,0
Ben Cummins,-4.866,9.0,3.0,1
Chris Butler,-20.866,,,0
Gerard Sutton,-5.866,,,1
Ashley Klein,12.134,,,1
Chris Sutton,24.134,,,0
Adam Gee,-1.866,,,1
Matt Cecchin,18.134,,,0
Grant Atkins,-7.866,,,0
Grant Atkins,-13.866,,,0
Matt Cecchin,2.134,,,1
Adam Gee,-21.866,,,1
Chris Butler,-9.866,,,1
Gerard Sutton,-13.866,,,1
Ben Cummins,-0.866,,,0
Chris Sutton,-11.866,,,0
Ashley Klein,2.134,,,1
Gerard Sutton,-15.866,,,1
Chris Sutton,24.134,,,0
Grant Atkins,6.134,,,1
Chris Butler,-15.866,,,0
Peter Gough,4.134,,,1
Adam Gee,0.134,,,0
Ashley Klein,-1.866,,,1
Matt Cecchin,16.134,,,1
Ben Cummins,8.134,9.0,-7.0,0
Gerard Sutton,8.134,7.0,1.0,1
Adam Gee,18.134,8.0,2.0,1
Ashley Klein,-1.866,9.0,-3.0,1
Peter Gough,-3.866,8.0,2.0,0
Matt Cecchin,-3.866,7.0,3.0,0
Chris Butler,-1.866,7.0,5.0,1
Chris Sutton,-21.866,12.0,-4.0,0
Grant Atkins,4.134,8.0,2.0,0
Chris Butler,2.134,6.0,-2.0,1
Matt Cecchin,3.134,9.0,1.0,1
Adam Gee,-5.866,4.0,2.0,0
Ashley Klein,18.134,8.0,6.0,0
Chris Sutton,-8.866,7.0,3.0,1
Peter Gough,24.134,9.0,1.0,1
Ben Cummins,-1.866,9.0,-3.0,1
Grant Atkins,8.134,17.0,3.0,1
Gerard Sutton,10.134,12.0,4.0,1
Chris Butler,-7.866,9.0,-3.0,0
Chris Sutton,8.134,8.0,-4.0,0
Ben Cummins,0.134,8.0,0.0,1
Ashley Klein,6.134,8.0,4.0,0
Peter Gough,16.134,7.0,-1.0,1
Adam Gee,14.134,17.0,5.0,0
Ashley Klein,10.134,9.0,-3.0,1
Matt Noyen,10.134,6.0,-4.0,1
Ben Cummins,-20.866,9.0,-1.0,1
Matt Cecchin,4.134,8.0,0.0,1
Peter Gough,4.134,15.0,-5.0,0
Gerard Sutton,-1.866,8.0,2.0,0
Grant Atkins,22.134,20.0,-4.0,0
Adam Gee,-11.866,15.0,-1.0,0
Ashley Klein,6.134,7.0,-3.0,0
Matt Cecchin,11.134,6.0,2.0,1
Adam Gee,6.134,6.0,0.0,1
Matt Noyen,-11.866,13.0,5.0,1
Gerard Sutton,12.134,9.0,3.0,1
Grant Atkins,14.134,20.0,0.0,1
Chris Sutton,2.134,12.0,-2.0,1
Ben Cummins,-17.866,10.0,8.0,1
Matt Cecchin,30.134,8.0,0.0,1
Grant Atkins,-13.866,21.0,-1.0,1
Chris Butler,-11.866,13.0,-5.0,1
Adam Gee,-1.866,6.0,0.0,0
Adam Gee,22.134,10.0,4.0,1
Ashley Klein,-8.866,13.0,-1.0,1
Ben Cummins,23.134,11.0,5.0,0
Chris Butler,-11.866,9.0,1.0,1
Chris Sutton,8.134,12.0,0.0,1
Matt Cecchin,12.134,9.0,-1.0,0
Grant Atkins,6.134,13.0,5.0,1
Gerard Sutton,-11.866,10.0,2.0,1
Adam Gee,0.134,4.0,2.0,0
Peter Gough,4.134,8.0,-2.0,0
Ashley Klein,4.134,7.0,3.0,1
Chris Butler,-29.866,13.0,1.0,1
Chris Sutton,-3.866,12.0,0.0,1
Gerard Sutton,36.134,13.0,-1.0,1
Matt Cecchin,0.134,5.0,3.0,1
Grant Atkins,34.134,12.0,4.0,0
Adam Gee,0.134,8.0,-4.0,0
Peter Gough,-8.866,4.0,0.0,0
Ashley Klein,-20.866,8.0,-4.0,1
Gerard Sutton,20.134,16.0,2.0,0
Matt Cecchin,4.134,10.0,-2.0,0
Chris Sutton,-7.866,12.0,0.0,1
Ben Cummins,-1.866,5.0,1.0,1
Grant Atkins,14.134,11.0,-5.0,0
Adam Gee,0.134,7.0,5.0,0
Matt Cecchin,18.134,5.0,3.0,1
Adam Gee,-7.866,4.0,-2.0,0
Chris Sutton,-13.866,16.0,6.0,1
Matt Cecchin,-11.866,8.0,2.0,0
Adam Gee,4.134,9.0,-1.0,1
Grant Atkins,6.134,10.0,-2.0,1
Chris Sutton,6.134,4.0,0.0,1
Ashley Klein,6.134,6.0,-2.0,0
Chris Butler,0.134,,,0
Gerard Sutton,20.134,7.0,-5.0,0
Ben Cummins,10.134,9.0,3.0,1
Adam Gee,-23.866,7.0,1.0,0
Gerard Sutton,-9.866,7.0,-3.0,1
Matt Cecchin,-9.866,11.0,3.0,0
Chris Butler,36.134,4.0,0.0,1
Ashley Klein,22.134,6.0,0.0,1
Ben Cummins,-15.866,10.0,0.0,1
Grant Atkins,-3.866,6.0,2.0,0
Chris Sutton,22.134,,,0
Grant Atkins,-17.866,5.0,-1.0,1
Ben Cummins,-11.866,4.0,-2.0,0
Chris Sutton,9.134,9.0,-1.0,1
Chris Butler,18.134,8.0,2.0,0
Adam Gee,12.134,8.0,2.0,1
Ashley Klein,1.134,12.0,0.0,1
Matt Cecchin,-5.866,8.0,0.0,0
Gerard Sutton,16.134,9.0,-5.0,0
Grant Atkins,2.134,9.0,1.0,1
Chris Sutton,-13.866,13.0,-1.0,1
Ashley Klein,6.134,9.0,-5.0,0
Matt Cecchin,-11.866,13.0,-5.0,1
Gerard Sutton,-11.866,14.0,-2.0,0
Adam Gee,0.134,11.0,-3.0,0
Chris Butler,-1.866,9.0,-7.0,0
Ben Cummins,4.134,14.0,6.0,1
Gerard Sutton,-3.866,14.0,0.0,1
Ben Cummins,4.134,4.0,2.0,0
Ashley Klein,-4.866,13.0,-1.0,0
Adam Gee,-3.866,10.0,2.0,1
Grant Atkins,20.134,12.0,2.0,1
Chris Sutton,-5.866,11.0,3.0,0
Peter Gough,-11.866,11.0,7.0,1
Matt Cecchin,-15.866,13.0,-5.0,0
Ben Cummins,8.134,6.0,-4.0,0
Adam Gee,-8.866,4.0,2.0,0
Grant Atkins,-8.866,13.0,9.0,1
Gerard Sutton,24.134,7.0,1.0,0
Peter Gough,-7.866,11.0,3.0,0
Ashley Klein,2.134,10.0,2.0,1
Chris Sutton,16.134,5.0,-1.0,0
Matt Cecchin,0.134,3.0,1.0,1
Grant Atkins,-16.866,8.0,0.0,1
Ben Cummins,-1.866,11.0,-3.0,0
Ashley Klein,20.134,9.0,-5.0,0
Peter Gough,18.134,9.0,1.0,0
Adam Gee,-5.866,8.0,4.0,1
Gerard Sutton,-13.866,9.0,-3.0,0
Chris Sutton,8.134,10.0,2.0,1
Matt Cecchin,0.134,7.0,3.0,1
Gerard Sutton,10.134,11.0,-5.0,0
Grant Atkins,-1.866,5.0,1.0,0
Adam Gee,0.134,9.0,1.0,0
Matt Cecchin,-9.866,8.0,2.0,1
Zbignew Przeklasa-Adamski,11.134,8.0,2.0,1
Ben Cummins,18.134,8.0,-4.0,0
Ashley Klein,-1.866,13.0,3.0,1
Chris Sutton,-7.866,7.0,-3.0,0
Grant Atkins,6.134,14.0,4.0,1
Adam Gee,3.134,9.0,1.0,1
Gerard Sutton,-19.866,12.0,-2.0,0
Ashley Klein,2.134,5.0,-1.0,1
Gerard Sutton,2.134,14.0,-2.0,1
Ashley Klein,-31.866,9.0,5.0,1
Ashley Klein,6.134,5.0,3.0,1
Gerard Sutton,-29.866,7.0,1.0,0
Gerard Sutton,-19.866,5.0,-1.0,1
Adam Gee,-9.403,11.0,-3.0,1
Ben Cummins,-0.403,12.0,2.0,1
Ashley Klein,-28.403,12.0,2.0,1
Gerard Sutton,-17.403,14.0,0.0,0
Peter Gough,0.597,12.0,-4.0,0
Chris Sutton,-1.403,16.0,2.0,0
Grant Atkins,16.597,8.0,6.0,1
Ben Cummins,-33.403,15.0,1.0,0
Gerard Sutton,-14.403,14.0,-6.0,1
Chris Sutton,-7.403,13.0,1.0,0
