season,team_name,games,goals_pg,behinds_pg,scoring_shots_pg,goal_conv_pct,inside_50s_pg,rebound_50s_pg,marks_i50_pg,hitouts_pg,clearances_pg,centre_clearances_pg,stoppage_clearances_pg,cp_pg,intercept_poss_pg,tackles_i50_pg
2021,Port Adelaide Power,24.0,12.2,10.5,22.7,0.5374,53.7,38.9,12.0,61.9,35.4,11.7,23.7,144.0,72.7,10.9
2021,Richmond Tigers,22.0,11.5,10.2,21.7,0.53,51.4,37.8,12.2,56.2,30.2,11.4,18.7,129.6,71.6,9.6
2021,St Kilda Saints,22.0,10.8,10.1,20.9,0.5167,50.9,38.1,11.7,62.0,35.0,10.9,24.1,133.4,67.9,11.6
2021,Sydney Swans,23.0,13.2,10.5,23.7,0.557,54.0,38.8,12.3,60.7,35.4,12.2,23.2,138.3,68.0,11.3
2021,West Coast Eagles,22.0,11.7,9.5,21.2,0.5519,49.6,36.1,11.8,48.7,36.2,13.4,22.8,132.6,67.0,8.9
2021,Western Bulldogs,26.0,13.0,11.8,24.8,0.5242,54.7,36.2,12.9,58.1,39.9,12.7,27.2,143.3,68.8,11.6
2022,Adelaide Crows,22.0,11.3,10.3,21.6,0.5231,50.4,40.8,9.9,67.6,39.4,11.6,27.8,143.3,68.2,11.0
2022,Brisbane Lions,25.0,14.2,10.3,24.5,0.5796,55.7,38.4,11.8,57.2,39.9,13.8,26.2,140.0,68.1,10.4
2022,Carlton Blues,22.0,12.2,11.3,23.5,0.5191,54.8,39.4,11.1,56.0,37.7,12.4,25.3,145.4,70.7,11.1
2022,Collingwood Magpies,25.0,12.1,10.6,22.7,0.533,54.3,39.9,10.6,63.4,35.2,11.0,24.2,135.6,74.9,11.3
2022,Essendon Bombers,22.0,11.3,11.1,22.4,0.5045,50.6,38.5,11.9,50.1,34.0,13.4,20.6,126.6,65.0,9.6
2022,Fremantle Dockers,24.0,11.3,10.2,21.5,0.5256,51.6,39.4,9.2,57.9,37.9,11.1,26.8,138.8,70.1,11.2
2022,Geelong Cats,25.0,14.4,12.9,27.3,0.5275,57.7,34.6,15.0,58.3,37.6,12.6,25.0,136.5,71.4,9.7
2022,Gold Coast Suns,22.0,12.3,11.2,23.5,0.5234,55.9,38.5,11.3,59.3,39.2,12.6,26.6,142.6,70.7,11.2
2022,Greater Western Sydney Giants,22.0,10.8,9.5,20.3,0.532,49.0,41.5,9.7,60.2,35.5,11.9,23.6,132.6,67.1,9.9
2022,Hawthorn Hawks,22.0,11.9,9.7,21.6,0.5509,49.8,41.7,9.8,59.0,32.5,10.6,21.9,135.6,72.2,10.3
2022,Melbourne Demons,24.0,12.5,11.9,24.4,0.5123,56.4,38.1,11.3,56.5,38.0,12.0,26.0,148.4,73.9,11.3
2022,North Melbourne Kangaroos,22.0,8.8,8.2,17.0,0.5176,43.5,45.5,8.2,56.0,36.5,12.3,24.2,127.7,60.9,6.8
2022,Port Adelaide Power,22.0,11.9,10.9,22.8,0.5219,52.9,38.5,12.8,60.0,38.0,11.7,26.4,137.7,72.0,10.7
2022,Richmond Tigers,23.0,14.5,11.5,26.0,0.5577,57.2,39.9,13.0,50.0,33.9,13.9,20.0,135.8,72.7,9.1
2022,St Kilda Saints,22.0,11.2,10.0,21.2,0.5283,49.7,39.0,10.6,57.6,34.9,11.9,22.9,135.9,69.0,10.4
2022,Sydney Swans,25.0,13.4,11.5,24.9,0.5382,54.3,39.2,11.5,65.0,37.5,11.5,26.0,139.4,68.8,12.0
2022,West Coast Eagles,22.0,9.6,7.1,16.7,0.5749,40.6,41.1,9.0,58.7,33.8,11.7,22.1,121.8,64.2,8.4
2022,Western Bulldogs,23.0,12.8,11.4,24.200000000000003,0.5289,56.3,37.0,12.0,56.4,40.0,13.9,26.1,139.6,64.3,11.1
2023,Adelaide Crows,23.0,13.9,12.1,26.0,0.5346,54.6,39.4,13.2,67.2,40.1,12.4,27.6,143.6,69.6,11.5
2023,Brisbane Lions,26.0,13.8,12.1,25.9,0.5328,56.6,36.4,13.7,55.5,42.3,13.3,29.0,135.7,66.7,11.2
2023,Carlton Blues,26.0,11.8,11.4,23.200000000000003,0.5086,53.4,40.7,11.4,61.8,37.8,11.2,26.6,142.5,72.3,10.4
2023,Collingwood Magpies,26.0,13.3,10.6,23.9,0.5565,52.6,38.5,12.8,64.1,37.0,11.6,25.4,132.3,68.5,9.5
2023,Essendon Bombers,23.0,11.6,10.3,21.9,0.5297,50.4,42.0,11.8,57.0,33.8,12.5,21.3,130.4,66.8,10.3
2023,Fremantle Dockers,23.0,11.8,9.1,20.9,0.5646,50.2,37.9,11.2,63.4,37.2,11.7,25.4,132.0,66.4,10.4
2023,Geelong Cats,23.0,13.3,10.9,24.200000000000003,0.5496,53.1,36.5,14.5,61.0,35.7,11.8,23.9,132.7,68.6,9.3
2023,Gold Coast Suns,23.0,11.5,10.9,22.4,0.5134,51.8,41.3,10.7,58.4,39.2,12.0,27.2,139.7,68.3,11.0
2023,Greater Western Sydney Giants,26.0,12.7,11.1,23.799999999999997,0.5336,55.9,42.5,12.7,61.4,36.2,11.7,24.5,141.7,75.0,12.6
2023,Hawthorn Hawks,23.0,10.6,9.9,20.5,0.5171,50.6,38.9,10.9,56.3,35.0,12.6,22.4,131.8,67.0,10.9
2023,Melbourne Demons,25.0,12.8,11.1,23.9,0.5356,58.4,38.4,12.8,61.2,37.9,12.1,25.8,146.3,77.8,12.2
2023,North Melbourne Kangaroos,23.0,10.6,8.7,19.299999999999997,0.5492,46.8,42.3,9.3,58.5,36.3,11.9,24.4,129.0,63.1,9.1
2023,Port Adelaide Power,25.0,13.2,12.6,25.799999999999997,0.5116,56.6,38.0,13.1,60.7,38.3,13.2,25.1,135.2,69.2,12.1
2023,Richmond Tigers,23.0,11.5,11.6,23.1,0.4978,52.7,43.6,13.3,58.6,35.7,11.1,24.6,135.8,73.0,10.6
2023,St Kilda Saints,24.0,11.3,9.4,20.700000000000003,0.5459,52.1,39.8,11.0,63.5,33.7,11.0,22.7,139.9,72.9,10.2
2023,Sydney Swans,24.0,12.8,11.3,24.1,0.5311,53.4,41.9,11.8,66.8,36.2,11.6,24.6,139.2,71.7,11.3
2023,West Coast Eagles,23.0,8.9,8.5,17.4,0.5115,43.4,40.7,8.6,60.7,34.3,10.6,23.7,121.2,59.1,10.4
2023,Western Bulldogs,23.0,12.0,11.4,23.4,0.5128,54.0,37.5,12.0,65.4,41.6,11.7,30.0,140.3,66.7,11.0
