date,home,away,venue,is_final,ml_home_prob,ml_margin,ml_total,ml_confidence,ml_home_odds,ml_away_odds,mkt_home_open,mkt_away_open,mkt_home_prob,home_line_open,total_line_open,ev_home,ev_away,handicap_edge,total_edge,actual_home_score,actual_away_score,actual_margin,actual_total,actual_home_win,home_covers,over_hit
2025-06-28,Collingwood Magpies,West Coast Eagles,Marvel Stadium,0,0.9835,76.6,195.5,0.9835,1.017,60.492,1.04,11.0,0.9136,-52.5,172.5,0.0228,-0.8182,24.1,23.0,88.0,59.0,29.0,147.0,1,0,0
2025-06-29,Fremantle Dockers,St Kilda Saints,Optus Stadium,0,0.9265,31.1,162.3,0.9265,1.079,13.601,1.28,3.75,0.7455,-22.5,166.5,0.1859,-0.7243,8.6,-4.2,81.0,69.0,12.0,150.0,1,0,0
2025-06-29,Richmond Tigers,Adelaide Crows,MCG,0,0.3732,7.7,160.2,0.6268,2.68,1.595,5.25,1.17,0.1822,30.5,174.5,0.9591,-0.2666,38.2,-14.3,54.0,122.0,-68.0,176.0,0,0,1
2025-07-03,North Melbourne Kangaroos,Western Bulldogs,Marvel Stadium,0,0.1686,-29.8,168.5,0.8314,5.93,1.203,5.25,1.17,0.1822,31.5,180.5,-0.1146,-0.0273,1.7,-12.0,85.0,134.0,-49.0,219.0,0,0,1
2025-07-04,West Coast Eagles,Greater Western Sydney Giants,Optus Stadium,0,0.1296,-23.5,169.2,0.8704,7.714,1.149,4.35,1.22,0.219,26.5,165.5,-0.4361,0.0619,3.0,3.7,52.0,111.0,-59.0,163.0,0,0,0
2025-07-04,Carlton Blues,Collingwood Magpies,MCG,0,0.3515,-8.7,144.4,0.6485,2.845,1.542,3.6,1.3,0.2653,21.5,160.5,0.2654,-0.1569,12.8,-16.1,59.0,115.0,-56.0,174.0,0,0,1
2025-07-05,Essendon Bombers,Gold Coast Suns,Marvel Stadium,0,0.4397,-27.8,163.0,0.5603,2.274,1.785,3.1,1.38,0.308,17.5,169.5,0.363,-0.2268,-10.3,-6.5,74.0,115.0,-41.0,189.0,0,0,1
2025-07-05,Geelong Cats,Richmond Tigers,GMHBA Stadium,0,0.9003,45.3,159.8,0.9003,1.111,10.032,1.03,12.0,0.921,-56.5,176.5,-0.0727,0.1962,-11.2,-16.7,124.0,52.0,72.0,176.0,1,1,0
2025-07-05,Brisbane Lions,Port Adelaide Power,Gabba,0,0.7183,7.5,165.1,0.7183,1.392,3.55,1.22,4.35,0.781,-26.5,168.5,-0.1236,0.2253,-19.0,-3.4,120.0,92.0,28.0,212.0,1,1,1
2025-07-05,St Kilda Saints,Hawthorn Hawks,Marvel Stadium,0,0.2121,-1.7,155.5,0.7879,4.714,1.269,3.0,1.4,0.3182,16.5,165.5,-0.3636,0.103,14.8,-10.0,74.0,94.0,-20.0,168.0,0,0,1
2025-07-06,Sydney Swans,Fremantle Dockers,SCG,0,0.4894,3.2,158.1,0.5106,2.043,1.958,1.78,2.05,0.5352,-3.5,153.5,-0.1289,0.0468,-0.3,4.6,94.0,83.0,11.0,177.0,1,1,1
2025-07-06,Adelaide Crows,Melbourne Demons,Adelaide Oval,0,0.7564,23.8,187.7,0.7564,1.322,4.105,1.28,3.75,0.7455,-22.5,170.5,-0.0318,-0.0864,1.3,17.2,90.0,77.0,13.0,167.0,1,0,0
2025-07-10,Carlton Blues,Brisbane Lions,Marvel Stadium,0,0.1928,-17.4,152.2,0.8072,5.188,1.239,3.2,1.36,0.2982,18.5,168.5,-0.3831,0.0978,1.1,-16.3,66.0,103.0,-37.0,169.0,0,0,1
2025-07-11,Gold Coast Suns,Collingwood Magpies,People First Stadium,0,0.2389,2.5,152.6,0.7611,4.187,1.314,2.1,1.75,0.4545,4.5,172.5,-0.4984,0.332,7.0,-19.9,69.0,63.0,6.0,132.0,1,1,0
2025-07-12,Western Bulldogs,Adelaide Crows,Marvel Stadium,0,0.7472,30.0,173.2,0.7472,1.338,3.955,1.65,2.25,0.5769,-7.5,179.5,0.2328,-0.4312,22.5,-6.3,98.0,109.0,-11.0,207.0,0,0,1
2025-07-12,Greater Western Sydney Giants,Geelong Cats,ENGIE Stadium,0,0.2939,-13.5,169.2,0.7061,3.402,1.416,2.1,1.75,0.4545,4.5,171.5,-0.3828,0.2357,-9.0,-2.3,111.0,85.0,26.0,196.0,1,1,1
2025-07-12,Fremantle Dockers,Hawthorn Hawks,Optus Stadium,0,0.6073,-5.3,165.9,0.6073,1.647,2.547,1.82,2.0,0.5236,-2.5,158.5,0.1054,-0.2147,-7.8,7.4,77.0,64.0,13.0,141.0,1,1,0
2025-07-12,Richmond Tigers,Essendon Bombers,MCG,0,0.4524,-10.6,159.1,0.5476,2.211,1.826,3.0,1.4,0.3182,16.5,164.5,0.3571,-0.2333,5.9,-5.4,46.0,37.0,9.0,83.0,1,1,0
2025-07-13,Melbourne Demons,North Melbourne Kangaroos,MCG,0,0.9138,23.8,165.1,0.9138,1.094,11.596,1.31,3.5,0.7277,-20.5,168.5,0.197,-0.6982,3.3,-3.4,119.0,83.0,36.0,202.0,1,1,1
2025-07-13,St Kilda Saints,Sydney Swans,Marvel Stadium,0,0.5707,-2.7,165.3,0.5707,1.752,2.329,2.1,1.75,0.4545,4.5,167.5,0.1984,-0.2487,1.8,-2.2,87.0,92.0,-5.0,179.0,0,0,1
2025-07-13,Port Adelaide Power,West Coast Eagles,Adelaide Oval,0,0.9145,46.5,180.1,0.9145,1.093,11.702,1.14,5.75,0.8345,-34.5,168.5,0.0426,-0.5086,12.0,11.6,87.0,61.0,26.0,148.0,1,0,0
2025-07-17,Essendon Bombers,Greater Western Sydney Giants,Marvel Stadium,0,0.4798,-13.2,148.9,0.5202,2.084,1.922,3.6,1.3,0.2653,21.5,172.5,0.7272,-0.3237,8.3,-23.6,56.0,104.0,-48.0,160.0,0,0,0
2025-07-18,Brisbane Lions,Western Bulldogs,Gabba,0,0.5547,-2.1,169.1,0.5547,1.803,2.246,1.68,2.2,0.567,-6.5,174.5,-0.0681,-0.0203,-8.6,-5.4,86.0,76.0,10.0,162.0,1,1,0
2025-07-19,Hawthorn Hawks,Port Adelaide Power,UTAS Stadium,0,0.6349,8.7,155.2,0.6349,1.575,2.739,1.31,3.5,0.7277,-20.5,156.5,-0.1683,0.2779,-11.8,-1.3,87.0,49.0,38.0,136.0,1,1,0
2025-07-19,Sydney Swans,North Melbourne Kangaroos,SCG,0,0.8384,34.8,156.8,0.8384,1.193,6.19,1.14,5.75,0.8345,-34.5,172.5,-0.0442,-0.0711,0.3,-15.7,84.0,53.0,31.0,137.0,1,0,0
2025-07-19,West Coast Eagles,Richmond Tigers,Optus Stadium,0,0.2423,-15.6,173.1,0.7577,4.128,1.32,1.65,2.25,0.5769,-7.5,160.5,-0.6002,0.7049,-23.1,12.6,56.0,105.0,-49.0,161.0,0,0,1
2025-07-19,Carlton Blues,Melbourne Demons,MCG,0,0.5227,-13.1,172.3,0.5227,1.913,2.095,1.97,1.85,0.4843,1.5,166.5,0.0297,-0.117,-11.6,5.8,78.0,70.0,8.0,148.0,1,1,0
2025-07-20,Geelong Cats,St Kilda Saints,GMHBA Stadium,0,0.5132,20.8,160.5,0.5132,1.949,2.054,1.14,5.75,0.8345,-33.5,169.5,-0.4149,1.799,-12.7,-9.0,113.0,82.0,31.0,195.0,1,0,1
2025-07-20,Collingwood Magpies,Fremantle Dockers,MCG,0,0.7046,12.0,163.6,0.7046,1.419,3.385,1.27,3.85,0.752,-23.5,161.5,-0.1052,0.1373,-11.5,2.1,78.0,79.0,-1.0,157.0,0,0,0
2025-07-20,Adelaide Crows,Gold Coast Suns,Adelaide Oval,0,0.7282,15.1,150.2,0.7282,1.373,3.679,1.44,2.8,0.6604,-14.5,175.5,0.0486,-0.2389,0.6,-25.3,107.0,46.0,61.0,153.0,1,1,0
2025-07-24,Hawthorn Hawks,Carlton Blues,MCG,0,0.8856,22.8,174.8,0.8856,1.129,8.74,1.2,4.6,0.7931,-28.5,163.5,0.0627,-0.4737,-5.7,11.3,85.0,61.0,24.0,146.0,1,0,0
2025-07-25,Essendon Bombers,Western Bulldogs,Marvel Stadium,0,0.1559,-20.9,136.2,0.8441,6.416,1.185,8.5,1.07,0.1118,44.5,175.5,0.3248,-0.0968,23.6,-39.3,50.0,143.0,-93.0,193.0,0,0,1
2025-07-25,Greater Western Sydney Giants,Sydney Swans,ENGIE Stadium,0,0.731,15.2,172.1,0.731,1.368,3.718,1.65,2.25,0.5769,-7.5,165.5,0.2062,-0.3948,7.7,6.6,102.0,58.0,44.0,160.0,1,1,0
2025-07-26,Gold Coast Suns,Brisbane Lions,People First Stadium,0,0.1725,-2.1,151.3,0.8275,5.799,1.208,2.05,1.78,0.4648,3.5,153.5,-0.6465,0.473,1.4,-2.2,130.0,64.0,66.0,194.0,1,1,1
2025-07-26,Fremantle Dockers,West Coast Eagles,Optus Stadium,0,0.9441,44.4,166.9,0.9441,1.059,17.897,1.09,7.5,0.8731,-40.5,163.5,0.0291,-0.5809,3.9,3.4,126.0,77.0,49.0,203.0,1,1,1
2025-07-26,North Melbourne Kangaroos,Geelong Cats,Marvel Stadium,0,0.0868,-32.8,155.0,0.9132,11.515,1.095,7.5,1.09,0.1269,40.5,177.5,-0.3487,-0.0047,7.7,-22.5,49.0,150.0,-101.0,199.0,0,0,1
2025-07-26,Adelaide Crows,Port Adelaide Power,Adelaide Oval,0,0.7607,15.7,160.3,0.7607,1.315,4.179,1.28,3.75,0.7455,-22.5,158.5,-0.0263,-0.1026,-6.8,1.8,133.0,35.0,98.0,168.0,1,1,1
2025-07-27,Richmond Tigers,Collingwood Magpies,MCG,0,0.2898,-40.1,164.6,0.7102,3.451,1.408,10.0,1.05,0.095,48.5,155.5,1.8978,-0.2543,8.4,9.1,57.0,93.0,-36.0,150.0,0,1,0
2025-07-27,St Kilda Saints,Melbourne Demons,Marvel Stadium,0,0.4929,10.2,151.8,0.5071,2.029,1.972,2.1,1.75,0.4545,4.5,169.5,0.035,-0.1125,14.7,-17.7,96.0,90.0,6.0,186.0,1,1,1
2025-07-31,Western Bulldogs,Greater Western Sydney Giants,Marvel Stadium,0,0.7623,25.3,152.4,0.7623,1.312,4.207,1.65,2.25,0.5769,-7.5,175.5,0.2578,-0.4652,17.8,-23.1,132.0,44.0,88.0,176.0,1,1,1
